system:index,area_ha,dNBR,fire_class,fire_date_str,fire_year,nbr_post,nbr_post2,nbr_post3,nbr_pre,sensor,severity,.geo
000000000000000003df,0.1,-9999.151768250416,소규모,2012-05-30,2012,0.15176825041686584,0.11907268596562745,0.26645046907325665,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.93899795380783,37.77334824261167]}"
000000000000000003e3,0.1,-9999.099456609476,소규모,2012-05-30,2012,0.09945660947523709,0.08047268577948394,0.1641139627306618,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.9378207511297,37.660274358098384]}"
00000000000000000425,0.1,-9999.175996184826,소규모,2012-06-19,2012,0.17599618482486998,0.1526641811860059,0.2171558377518875,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.55670584319273,37.7456928978782]}"
00000000000000000491,0.1,-9999.11046935196,소규모,2012-10-15,2012,0.1104693519587219,0.09588517211310786,0.043799063586464106,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.08155295313966,37.648132225929864]}"
00000000000000000335,0.12,-9999.08059993373,소규모,2012-04-15,2012,0.08059993372960299,0.15593278817422027,0.12009244316978185,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.59603757583096,37.69907745546548]}"
0000000000000000035c,0.12,-9999.321282793378,소규모,2012-05-01,2012,0.32128279337907867,0.2653690338011088,0.3168876853984321,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[129.1618618267048,37.13965647370436]}"
0000000000000000032d,0.15,-9999.091704620285,소규모,2012-04-09,2012,0.09170462028505554,0.1208866266167808,0.09013061397144329,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.09616988639286,37.557608015443854]}"
00000000000000000346,0.15,-9999.246990124224,소규모,2012-04-18,2012,0.24699012422342834,0.1943589572886777,0.11580065176009552,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.38590889554258,38.173030847335184]}"
00000000000000000266,0.2,-9999.149185586972,소규모,2012-02-05,2012,0.1491855869713036,0.10524547936932299,0.13893917633615793,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.45689132745818,38.45244703754621]}"
000000000000000003a5,0.2,-9999.076679024169,소규모,2012-05-26,2012,0.07667902416820943,0.10769240000262853,0.1861734413026864,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.5383412673004,37.306168225242146]}"
00000000000000000459,0.2,-9999.065804823758,소규모,2012-06-29,2012,0.06580482375851261,0.09068875726996593,0.19880547594548234,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.76243984759662,37.257880619934376]}"
000000000000000004b9,0.2,-9999.274245627592,소규모,2012-12-26,2012,0.27424562759156806,0.2905124830140777,0.27970100277309695,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[129.1618618267048,37.13965647370436]}"
00000000000000000421,0.3,-9999.070428384111,소규모,2012-06-17,2012,0.07042838411177697,0.0890922807755227,0.07802640905329204,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.11283354702957,37.55691685478056]}"
0000000000000000042a,0.7,-9999.12835819728,소규모,2012-06-22,2012,0.12835819727967887,0.10979934727522102,0.17295260792332895,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.91548511395298,37.4946455085692]}"
0000000000000000027b,1.0,-9999.070910907014,소규모,2012-02-18,2012,0.07091090701310938,0.11078086140835673,0.14408302870168965,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.02796593802617,37.08443050715745]}"
00000000000000000413,1.0,-9999.149248156029,소규모,2012-06-08,2012,0.14924815602811392,0.2664414361974144,0.0724140066291425,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.01332870702193,37.758392417678415]}"
00000000000000000353,1.5,-9999.070424710188,소규모,2012-04-19,2012,0.07042471018818207,0.16119272000600296,0.18029505891507108,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.19140090983706,37.56264234053319]}"
000000000000000003b3,1.5,-9999.226936354959,소규모,2012-05-28,2012,0.22693635495925707,0.23809876572238947,0.2535036732815626,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[129.34629024627532,37.136316607015345]}"
000000000000000005e7,4.0,-9999.145955801885,소규모,2013-03-27,2013,0.14595580188520857,0.16145993348466192,0.17930211173093996,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.65789622339857,37.813783370964316]}"
0000000000000000054b,0.01,0.0818515098026505,소규모,2013-11-08,2013,0.11917052784796227,0.2046305887296266,0.17480560043219665,0.20102203765061277,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.6177756934665,38.08776391699119]}"
000000000000000005eb,0.01,-0.09140024196872723,소규모,2013-04-01,2013,0.1818932308662859,0.18920257457610534,0.20917425545218288,0.09049298889755866,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.78764268675071,37.88005453082063]}"
000000000000000005ec,0.01,-9999.188462075968,소규모,2013-04-13,2013,0.18846207596813652,0.20437319659671133,0.14069521485207614,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[129.38712223462173,37.05318558607595]}"
000000000000000005ed,0.01,-0.08507598727127874,소규모,2013-04-16,2013,0.0859231763745979,0.06414984832924318,0.09214704944976317,8.471891033191624E-4,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.14767696266121,37.50265851316224]}"
000000000000000005f6,0.01,0.04087287998295841,소규모,2013-05-08,2013,0.07243194866487389,0.06132248191008735,0.1961891224103514,0.1133048286478323,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.4694169423173,38.15564035322675]}"
000000000000000005fd,0.01,-0.04992937260283005,소규모,2013-06-11,2013,0.11921141739303447,0.14719210490829163,0.1692227613309438,0.06928204479020442,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.0482414705162,38.10549330277969]}"
00000000000000000601,0.01,-0.03942543135661741,소규모,2013-10-27,2013,0.19513519530030987,0.060540715767354876,0.15258908591809722,0.15570976394369246,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.01708327010891,37.68314954650257]}"
00000000000000000607,0.01,0.03157601652641237,소규모,2013-12-06,2013,0.1718223969004707,0.2268084067133607,0.17825692342127883,0.20339841342688306,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.70119655597438,38.026446818405255]}"
000000000000000005e9,0.02,-0.06680402671769065,소규모,2013-03-28,2013,0.10499476293795529,0.09462348060511723,0.09833315672034072,0.03819073622026464,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.88768953933263,37.76102328729994]}"
000000000000000005f8,0.02,-0.0813290471202231,소규모,2013-05-14,2013,0.20802857766858815,0.1638204496473391,0.24043692165066216,0.12669953054836505,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.7925655343137,38.142686664666485]}"
000000000000000005f9,0.02,-0.09091674361429328,소규모,2013-06-07,2013,0.16740068169617314,0.16247922517440316,0.14978506851771214,0.07648393808187987,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.7788493394733,37.879207301620475]}"
000000000000000005fc,0.02,-0.10267071101001618,소규모,2013-05-17,2013,0.13422550691181623,0.16248920153007207,0.16220446454279058,0.03155479590180004,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.66469635250509,37.851543038684895]}"
000000000000000005e0,0.03,-9999.111453219632,소규모,2013-03-10,2013,0.1114532196313548,0.12683953744100607,0.07565964371379658,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.06933501625322,37.45150816497816]}"
00000000000000000606,0.03,0.004427645893787496,소규모,2013-12-01,2013,0.13457217069953106,0.16516021199097553,0.13168741647875185,0.13899981659331856,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[128.85227089966511,37.73980242538659]}"
00000000000000000574,0.05,-9999.088469789252,소규모,2013-03-06,2013,0.0884697892519931,0.13898953398432326,0.2474981480254747,-9999.0,Landsat-8,unburned,"{""type"":""Point"",""coordinates"":[127.66648445202752,37.700923523301604]}"
