stn_id,name,lat,lon,ndvi_mean,SLTP_CD,TPGRP_TPCD,CLZN_CD_x,PRRCK_LARG,SOIL_DRNGE,LOCTN_GRDN,ALTTD_CD,WASH_CD,SLANT_TYP,EIGHT_CD,WIND_EXDGR,WTEFF_DGR,VLDTY_SLDP,KOFTR_CD,AVRG_FRAG,토양형,지형,기후대,모암대,배수,침식,경사형,사면방위,바람노출,풍화정도,수종,산사태등급,산사태위험도,RPRSN_KOFT,KOFTR_LIST,KOFTR_LI_1,CLZN_CD_y,BROAD,label_맞춤,dist_맞춤,FROR_CD,FRTP_CD,AGCLS_CD,DNST_CD,label_임상,dist_임상,label,label_name,추천수종_적지,추천수종_가능
581,상동,37.11663,128.77441,0.6130982142857142,2.0,5.0,1.0,2.0,2.0,28.0,6.0,1.0,2.0,320.0,2.0,2.0,20.0,11005.0,12.0,갈색약건,산록,온대북부,퇴적암,보통,없음,평행사면,남서,보통,중,강원소나무,,,,,,,,,,,,,,,,0,자연복원,,
582,신림,37.23146,128.07993,0.4924214285714286,1.0,1.0,2.0,3.0,3.0,24.2,5.0,1.0,1.0,300.0,1.0,3.0,17.0,,0.0,갈색건조,산정,온대중부,변성암,양호,없음,상승사면,남,노출,하,,,,,,,,,,,,,,,,,0,자연복원,,
583,안흥,37.46463,128.1551,0.4621821428571429,2.0,5.0,2.0,1.0,2.0,6.2,7.0,1.0,2.0,300.0,2.0,2.0,26.0,,0.0,갈색약건,산록,온대중부,화성암,보통,없음,평행사면,남,보통,중,,,,,,,,,,,,,,,,,0,자연복원,,
585,신남,37.95996,128.0742,0.5028410714285715,3.0,5.0,1.0,3.0,2.0,15.6,3.0,1.0,3.0,420.0,3.0,1.0,21.0,11005.0,16.0,갈색적윤,산록,온대북부,변성암,보통,없음,하강사면,북서,보호,상,강원소나무,5.0,5등급(매우낮음),,,,,,,,,,,,,,0,자연복원,,
586,북산,38.03209,127.87694,0.6013982142857143,3.0,5.0,2.0,3.0,2.0,21.7,3.0,1.0,3.0,410.0,3.0,1.0,27.0,11017.0,13.0,갈색적윤,산록,온대중부,변성암,보통,없음,하강사면,북동,보호,상,낙엽송,,,,,,,,,,,,,,,,0,자연복원,,
587,방산,38.22642,127.95329,0.5213910714285716,2.0,3.0,2.0,1.0,2.0,29.8,5.0,1.0,1.0,200.0,2.0,2.0,20.0,,0.0,갈색약건,산복,온대중부,화성암,보통,없음,상승사면,서,보통,중,,,,,,,,,,,,,,,,,0,자연복원,,
588,남산,37.79066,127.64289,0.5007071428571428,2.0,3.0,2.0,1.0,3.0,13.0,2.0,1.0,2.0,400.0,2.0,3.0,25.0,11019.0,10.0,갈색약건,산복,온대중부,화성암,양호,없음,평행사면,북,보통,하,잣나무,,,,,,,,,,,,,,,,0,자연복원,,
591,치악산,37.41554,128.05047,0.6794767857142856,3.0,5.0,2.0,1.0,3.0,23.4,4.0,1.0,3.0,200.0,2.0,1.0,21.0,,0.0,갈색적윤,산록,온대중부,화성암,양호,없음,하강사면,서,보통,상,,,,,,,,,,,,,,,,,0,자연복원,,
592,부론,37.23162,127.74866,0.4699160714285714,2.0,3.0,2.0,1.0,2.0,10.1,2.0,1.0,2.0,320.0,2.0,2.0,36.0,11002.0,11.0,갈색약건,산복,온대중부,화성암,보통,없음,평행사면,남서,보통,중,리기다소나무,,,,,,,,,,,,,,,,0,자연복원,,
593,양양영덕,38.00731,128.54069,0.6369607142857144,2.0,3.0,2.0,3.0,2.0,26.9,4.0,1.0,2.0,100.0,2.0,2.0,17.0,12018.0,14.0,갈색약건,산복,온대중부,변성암,보통,없음,평행사면,동,보통,중,신갈나무,,,,,,,,,,,,,,,,0,자연복원,,
594,서화,38.2533,128.21,0.4371696428571427,97.0,,,,,23.7,1.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,인공조림,,
595,진부령,38.26414,128.37415,0.472419642857143,93.0,,,,,9.0,1.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,자연복원,,
